ubicacion,codigo_ine,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,%_casas_vacias,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,Comunidad Autónoma,Provincia,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    02018 Bonete,02018,689,2160,21,82,22.206095791001452,279,556,47,2,37,35,69,1025,116,672,237,535,63,360,112,490,53,312,125,Castilla - La Mancha,Albacete,60,4,8,10,5,9,27,6,4,12,32,6,12553.48,55884,-1.34830324,38.86950589,886.0
    32068 Ramirás,32068,1613,2111,71,107,58.7724736515809,385,696,129,63,39,148,45,1505,84,716,705,703,41,370,292,802,43,346,413,Galicia,Ourense,77,1,9,23,2,21,22,3,10,3,55,5,4066.4636,34108,-8.025433258,42.18538244,363.0
    08226 Sant Martí de Tous,08226,595,2857,13,48,15.630252100840336,495,387,179,21,10,17,129,1238,247,763,228,635,125,401,109,603,122,362,119,Cataluña,Barcelona,36,3,6,7,5,7,13,0,3,4,30,0,3903.46,30066,1.52455178,41.55991606,457.0
    08167 Polinyà,08167,3191,2538,39,139,3.603885929175807,3188,2677,1245,86,141,213,967,8517,1769,5794,954,4320,896,2984,440,4197,873,2810,514,Cataluña,Barcelona,366,17,62,76,18,66,127,2,86,21,232,23,881.4964,14729,2.15742381,41.5565656,125.0
    02046 Mahora,02046,1089,2370,58,121,26.446280991735538,385,686,94,5,68,39,112,1389,201,873,315,714,102,469,143,675,99,404,172,Castilla - La Mancha,Albacete,92,4,7,19,3,13,49,6,8,40,34,3,10814.91,48081,-1.72481837,39.21303088,663.0
    21002 Aljaraque,21002,8574,3051,102,440,4.735246092838815,9398,5188,3367,494,527,324,2483,21781,4397,14980,2404,10848,2266,7413,1169,10933,2131,7567,1235,Andalucía,Huelva,1329,68,154,237,56,311,503,81,44,86,987,131,3382.3654,27080,-7.02327311,37.2723312,34.0
    08044 Capellades,08044,2773,2372,73,184,11.720158672917417,1621,2106,803,51,96,159,474,5310,808,3376,1126,2647,418,1735,494,2663,390,1641,632,Cataluña,Barcelona,226,9,38,57,10,40,72,5,31,10,162,21,292.01,9913,1.6863149,41.53137121,317.0
    08114 Martorell,08114,10685,2275,191,527,4.464202152550304,9562,9698,3426,279,640,2165,2818,28590,5043,18907,4640,14568,2597,9961,2010,14022,2446,8946,2630,Cataluña,Barcelona,1260,61,167,282,32,264,454,17,152,72,869,150,1284.51,22301,1.91913747,41.47800328,79.0
    46029 Algemesí,46029,14059,2824,333,881,16.765061526424354,9922,11701,1497,128,505,851,2704,27308,4707,17657,4944,13536,2430,9015,2091,13772,2277,8642,2853,Comunitat Valenciana,Valencia/Valéncia,1473,73,200,288,88,381,443,71,293,93,875,141,4130.0,28788,-0.43644269,39.1890727,17.0
    47182 Valdestillas,47182,937,2137,43,104,8.217716115261473,694,584,160,15,23,34,103,1613,205,1089,319,829,107,574,148,784,98,515,171,Castilla y León,Valladolid,56,1,8,11,0,10,24,1,3,6,44,4,3628.6406,25753,-4.77154235,41.47580737,699.0
    08089 Gavà,08089,20359,2366,317,1046,6.3018812318876165,14676,17074,6256,540,1020,2779,4478,46823,7834,30568,8421,22927,4077,15186,3664,23896,3757,15382,4757,Cataluña,Barcelona,1885,62,290,481,69,350,633,16,215,139,1382,133,3074.7,31357,2.00329904,41.30331666,10.0
    47231 Zaratán,47231,2891,1919,85,303,3.9086821169145622,2994,977,1004,183,211,101,775,6245,1431,4340,474,3200,766,2210,224,3045,665,2130,250,Castilla y León,Valladolid,224,9,26,41,6,51,91,3,15,15,179,12,2015.9,19290,-4.78289177,41.66151599,755.0
    17066 Figueres,17066,21062,2111,561,1536,6.0820434906466625,12564,16990,4756,1254,1372,4614,5254,46804,8770,30575,7459,23131,4519,15469,3143,23673,4251,15106,4316,Cataluña,Girona,2544,102,345,565,110,613,809,104,198,193,1729,320,1899.09,28814,2.96027805,42.2678359,41.0
    29070 Mijas,29070,62030,2554,1721,5485,21.122037723682087,16008,29880,11764,2510,3144,13954,9295,86556,15927,58343,12286,43021,8256,28687,6078,43535,7671,29656,6208,Andalucía,Málaga,5778,209,732,1249,183,1231,2174,39,158,514,4595,472,14872.78,59678,-4.63902803,36.59339039,430.0
    46154 Llanera de Ranes,46154,607,2617,11,42,17.792421746293247,298,434,200,3,10,19,90,1054,171,671,212,547,83,365,99,507,88,306,113,Comunitat Valenciana,Valencia/Valéncia,74,7,10,16,5,12,24,0,11,6,49,8,927.3681,29549,-0.57140634,38.99303617,139.0
    18071 Dúrcal,18071,4403,2424,148,450,15.920962979786509,2462,3045,593,121,213,180,553,7167,1044,4844,1279,3598,541,2462,595,3569,503,2382,684,Andalucía,Granada,785,38,120,194,25,171,237,48,64,86,524,63,7663.4218,49846,-3.56634078,36.988117,788.0
    03049 Callosa de Segura,03049,9142,2624,206,637,11.594837015970247,6145,7604,1199,84,495,1372,2375,19274,3835,12325,3114,9840,1975,6525,1340,9434,1860,5800,1774,Comunitat Valenciana,Alicante/Alacant,1332,50,188,274,57,311,452,77,217,107,760,171,2490.77,41368,-0.87933854,38.12258136,20.0
    25172 Ponts,25172,1525,2272,79,164,12.918032786885245,733,1093,206,109,62,200,231,2634,388,1674,572,1343,205,889,249,1291,183,785,323,Cataluña,Lleida,94,3,19,21,5,15,33,11,8,6,65,3,3121.06,34627,1.18781048,41.91779593,365.0
    26084 Lardero,26084,6591,1815,285,900,7.00955848884843,4076,1669,2659,0,895,504,1268,11071,2119,7525,1427,5573,1076,3784,713,5498,1043,3741,714,"Rioja, La","Rioja, La",415,10,41,100,14,91,159,10,65,33,287,20,2061.9701,19162,-2.46253648,42.42703917,438.0
    28026 Brunete,28026,4199,2607,71,245,3.881876637294594,3661,2493,2207,0,509,743,1085,10699,1957,7394,1348,5270,1000,3657,613,5429,957,3737,735,"Madrid, Comunidad de",Madrid,391,16,47,99,15,72,142,1,13,20,330,24,4894.3516,32787,-3.99857387,40.40551557,653.0
